PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1626168,189,Trey Lyles,1610612758,SAC,49,19.8,2.4,5.3,0.45,1.4,3.7,0.383,0.9,1.3,0.698,1.0,3.4,4.4,1.1,0.3,0.3,0.6,7.1,9.2
1630194,190,Paul Reed,1610612755,PHI,69,19.1,3.1,5.8,0.529,0.3,0.8,0.365,0.7,1.0,0.727,2.3,3.5,5.8,1.3,0.7,1.0,0.8,7.1,12.2
1629656,191,Quentin Grimes,1610612765,DET,51,20.1,2.4,6.4,0.372,1.6,4.7,0.338,0.7,0.9,0.756,0.3,1.7,2.0,1.3,0.7,0.1,0.5,7.0,6.3
1631223,192,David Roddy,1610612756,PHX,60,19.3,2.7,6.7,0.404,0.8,2.7,0.294,0.8,1.1,0.691,0.9,2.6,3.4,1.3,0.4,0.2,1.0,7.0,7.0
1628392,193,Isaiah Hartenstein,1610612752,NYK,62,24.9,2.8,4.5,0.622,0.0,0.0,0.333,1.4,1.9,0.724,3.3,5.1,8.5,2.2,1.0,1.1,1.1,7.0,16.5
1631128,194,Christian Braun,1610612743,DEN,69,19.2,2.6,5.6,0.458,0.7,1.9,0.375,1.1,1.6,0.699,0.8,2.7,3.5,1.4,0.5,0.4,0.7,6.9,8.6
1626174,195,Christian Wood,1610612747,LAL,50,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.3,1.9,0.702,0.8,4.3,5.1,1.0,0.3,0.7,1.0,6.9,9.6
1630540,196,Miles McBride,1610612752,NYK,55,15.6,2.5,5.6,0.448,1.3,3.1,0.416,0.5,0.6,0.824,0.3,0.8,1.1,1.3,0.6,0.1,0.4,6.9,6.5
1630543,197,Isaiah Jackson,1610612754,IND,51,13.3,2.7,4.1,0.664,0.0,0.1,0.0,1.3,1.9,0.708,1.5,2.6,4.1,0.9,0.6,1.0,0.7,6.8,10.9
1631212,198,Peyton Watson,1610612743,DEN,67,18.4,2.6,5.6,0.466,0.6,2.1,0.312,0.9,1.3,0.663,0.6,2.3,2.9,1.0,0.6,1.0,0.7,6.8,8.0
1641717,199,Cason Wallace,1610612760,OKC,68,20.5,2.6,5.2,0.504,1.2,2.8,0.415,0.4,0.5,0.774,0.6,1.6,2.3,1.4,0.8,0.5,0.5,6.8,8.5
1626224,200,Cedi Osman,1610612759,SAS,65,17.3,2.5,5.3,0.477,1.1,3.0,0.376,0.5,0.8,0.68,0.4,2.1,2.5,1.7,0.5,0.2,0.7,6.7,7.8
1628372,201,Dennis Smith Jr.,1610612751,BKN,53,19.3,2.7,6.2,0.427,0.6,2.0,0.286,0.8,1.1,0.75,0.9,2.1,3.0,3.7,1.2,0.2,1.2,6.7,9.8
1628988,202,Aaron Holiday,1610612745,HOU,65,16.4,2.3,5.3,0.441,1.1,2.8,0.388,0.7,0.8,0.898,0.2,1.3,1.6,1.8,0.5,0.1,0.7,6.4,6.7
1628449,203,Chris Boucher,1610612761,TOR,50,14.1,2.2,4.3,0.507,0.6,1.9,0.33,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,6.4,8.7
203937,204,Kyle Anderson,1610612750,MIN,66,22.8,2.5,5.4,0.469,0.1,0.6,0.225,1.2,1.8,0.707,0.8,2.8,3.6,4.2,0.8,0.5,1.2,6.4,11.0
1630164,205,James Wiseman,1610612765,DET,50,15.1,2.7,4.3,0.638,0.0,0.0,0.0,0.9,1.3,0.687,1.6,3.1,4.7,0.8,0.2,0.6,0.9,6.4,9.9
1629599,206,Amir Coffey,1610612746,LAC,56,19.3,2.3,4.5,0.504,0.9,2.3,0.402,0.8,0.9,0.885,0.4,1.6,1.9,1.0,0.6,0.1,0.5,6.2,7.1
1628464,207,Daniel Theis,1610612746,LAC,53,16.8,2.5,4.8,0.53,0.4,1.1,0.379,0.6,0.9,0.739,1.4,2.5,3.9,1.0,0.4,0.8,0.7,6.1,9.1
1630598,208,Aaron Wiggins,1610612760,OKC,65,14.5,2.4,4.2,0.568,0.8,1.5,0.49,0.6,0.7,0.771,0.7,1.5,2.3,0.9,0.5,0.2,0.6,6.1,7.4
201145,209,Jeff Green,1610612745,HOU,64,16.4,2.0,4.3,0.462,0.5,1.6,0.317,1.6,2.0,0.811,0.5,1.5,2.1,0.9,0.2,0.4,0.7,6.0,6.3
201976,209,Patrick Beverley,1610612749,MIL,64,19.6,2.1,5.1,0.415,0.8,2.4,0.335,1.0,1.2,0.808,0.6,2.4,3.0,2.8,0.6,0.4,1.0,6.0,8.7
1630577,211,Julian Champagnie,1610612759,SAS,61,17.7,1.9,4.9,0.394,1.3,3.5,0.37,0.8,1.0,0.823,0.6,2.0,2.6,1.2,0.6,0.5,0.6,6.0,7.1
203926,212,Doug McDermott,1610612754,IND,53,14.8,2.0,4.6,0.433,1.5,3.7,0.413,0.2,0.4,0.579,0.2,0.8,1.0,1.2,0.2,0.0,0.5,5.7,5.0
1626192,213,Pat Connaughton,1610612749,MIL,63,21.9,2.0,4.3,0.46,1.1,3.0,0.379,0.5,0.7,0.756,0.7,2.6,3.3,1.9,0.5,0.3,0.6,5.7,8.4
1630570,214,Trendon Watford,1610612751,BKN,50,11.3,2.2,4.1,0.527,0.3,0.8,0.357,1.0,1.2,0.879,0.8,1.7,2.5,1.1,0.3,0.3,0.7,5.7,7.1
1626204,215,Larry Nance Jr.,1610612740,NOP,49,19.1,2.2,3.8,0.589,0.4,1.1,0.423,0.7,1.0,0.75,1.5,3.7,5.1,1.7,1.0,0.4,0.8,5.6,11.2
